N° Siren,Nom de la compagnie,Secteur,Région,Période depuis la création (année),Nombre d'établissements,Nbre d'employés min,Nbre d'employés Max,Titre du poste,Emplacement du travail,Type de travail,Niveau requis,Nombre d'offres
751592510,AKTISEA,activités de centres d'appels,NICE ,9,3,20,49,Data Analyst ,"Bordeaux, Nouvelle-Aquitaine",CDI ,Premier emploi,2
432610426,Avanade,Activité de la programmation informatique,ISSY-LES-MOULINEAUX ,21,8,500,999,Data Engineer ,"Lyon, Auvergne-Rhône-Alpes",CDI ,Premier emploi,1
432610426,Avanade,Activité de la programmation informatique,ISSY-LES-MOULINEAUX ,21,8,500,999,Data Engineer ,"Lyon, Auvergne-Rhône-Alpes",Stage,Premier emploi,1
432610426,Avanade,Activité de la programmation informatique,ISSY-LES-MOULINEAUX ,21,8,500,999,Data Engineer ,"Bordeaux, Nouvelle-Aquitaine",CDI ,Premier emploi,1
432610426,Avanade,Activité de la programmation informatique,ISSY-LES-MOULINEAUX ,21,8,500,999,Data Engineer ,"Bordeaux, Nouvelle-Aquitaine",Stage,Premier emploi,1
432610426,Avanade,Activité de la programmation informatique,ISSY-LES-MOULINEAUX ,21,8,500,999,Data Engineer ,"Toulouse, Occitanie",CDI ,Premier emploi,1
432610426,Avanade,Activité de la programmation informatique,ISSY-LES-MOULINEAUX ,21,8,500,999,Data Engineer ,"Toulouse, Occitanie",Stage,Premier emploi,1
432610426,Avanade,Activité de la programmation informatique,ISSY-LES-MOULINEAUX ,21,8,500,999,Data Engineer ,"Nantes, Pays de la Loire",CDI ,Premier emploi,1
432610426,Avanade,Activité de la programmation informatique,ISSY-LES-MOULINEAUX ,21,8,500,999,Data Engineer ,"Nantes, Pays de la Loire",Stage,Premier emploi,1
432610426,Avanade,Activité de la programmation informatique,ISSY-LES-MOULINEAUX ,21,8,500,999,Data Engineer ,"Paris, Île-de-France",CDI ,Premier emploi,2
432610426,Avanade,Activité de la programmation informatique,ISSY-LES-MOULINEAUX ,21,8,500,999,Data Engineer ,"Paris, Île-de-France",Stage,Premier emploi,1
432610426,Avanade,Activité de la programmation informatique,ISSY-LES-MOULINEAUX ,21,8,500,999,Data Scientist ,"Paris, Île-de-France",CDI ,Confirmé,1
487874356,Adsearch,Activités des agences de travail temporaire,PARIS,15,9,10,19,Data Analyst ,"Villeurbanne, Auvergne-Rhône-Alpes",CDI ,Premier emploi,1
487874356,Adsearch,Activités des agences de travail temporaire,PARIS,15,9,10,19,Data Analyst ,"Lisieux, Normandie",CDI ,Premier emploi,1
819670654,Lévavi,Activité du conseil pour les affaires et autres conseils de gestion,BEAUMONT-MONTEUX,5,2,1,2,Data Analyst ,"Lille, Hauts-de-France",CDI ,Premier emploi,1
385365713,Inetum,Activité du conseil en systèmes et logiciels informatiques,SAINT-OUEN-SUR-SEINE ,29,85,5000,9999,Data Analyst ,"Orléans, Centre-Val de Loire",Stage,Premier emploi,1
385365713,Inetum,Activité du conseil en systèmes et logiciels informatiques,SAINT-OUEN-SUR-SEINE ,29,85,5000,9999,Data Analyst ,"Lille, Hauts-de-France",CDI ,Premier emploi,1
385365713,Inetum,Activité du conseil en systèmes et logiciels informatiques,SAINT-OUEN-SUR-SEINE ,29,85,5000,9999,Data Engineer ,"Orléans, Centre-Val de Loire",Stage,Premier emploi,1
385365713,Inetum,Activité du conseil en systèmes et logiciels informatiques,SAINT-OUEN-SUR-SEINE ,29,85,5000,9999,Data Engineer ,"Orléans, Centre-Val de Loire",CDI ,Premier emploi,1
385365713,Inetum,Activité du conseil en systèmes et logiciels informatiques,SAINT-OUEN-SUR-SEINE ,29,85,5000,9999,Data Engineer ,"Nantes, Pays de la Loire",CDI ,Premier emploi,1
385365713,Inetum,Activité du conseil en systèmes et logiciels informatiques,SAINT-OUEN-SUR-SEINE ,29,85,5000,9999,Data Engineer ,"Nantes, Pays de la Loire",Stage,Premier emploi,1
385365713,Inetum,Activité du conseil en systèmes et logiciels informatiques,SAINT-OUEN-SUR-SEINE ,29,85,5000,9999,Data Engineer ,"Lille, Hauts-de-France",CDI ,Premier emploi,2
385365713,Inetum,Activité du conseil en systèmes et logiciels informatiques,SAINT-OUEN-SUR-SEINE ,29,85,5000,9999,Data Engineer ,"Saint-Ouen, Île-de-France",CDI ,Premier emploi,4
385365713,Inetum,Activité du conseil en systèmes et logiciels informatiques,SAINT-OUEN-SUR-SEINE ,29,85,5000,9999,Data Engineer ,"Courbevoie, Île-de-France",CDI ,Premier emploi,1
385365713,Inetum,Activité du conseil en systèmes et logiciels informatiques,SAINT-OUEN-SUR-SEINE ,29,85,5000,9999,Data Engineer ,"Niort, Nouvelle-Aquitaine",CDI ,Premier emploi,1
385365713,Inetum,Activité du conseil en systèmes et logiciels informatiques,SAINT-OUEN-SUR-SEINE ,29,85,5000,9999,Data Scientist ,"Nantes, Pays de la Loire",Stage,Premier emploi,1
385365713,Inetum,Activité du conseil en systèmes et logiciels informatiques,SAINT-OUEN-SUR-SEINE ,29,85,5000,9999,Data Scientist ,"Courbevoie, Île-de-France",Stage,Premier emploi,1
503916033,Contentsquare,Activité de l'edition de logiciels applicatifs,PARIS,12,6,250,499,Data Engineer ,À distance,CDI ,Confirmé,4
